Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:35 AM - 6/18/21, 3:50 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;Supertrendstrategy11(Buy);Buy to Open;100.0;$9.21;5/7/21, 9:35 AM;;$20.40;100.0;
2;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$10.49;5/12/21, 1:50 PM;$128.50;$128.50;0.0;
3;Supertrendstrategy11(Buy);Buy to Open;100.0;$10.50;5/12/21, 1:55 PM;;$121.00;100.0;
4;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$11.79;5/13/21, 10:05 AM;$129.41;$257.91;0.0;
5;Supertrendstrategy11(Buy);Buy to Open;100.0;$11.63;5/13/21, 10:10 AM;;$269.00;100.0;
6;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$13.00;5/13/21, 1:40 PM;$137.00;$394.91;0.0;
7;Supertrendstrategy11(Buy);Buy to Open;100.0;$12.96;5/13/21, 1:45 PM;;$384.80;100.0;
8;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$14.26;5/17/21, 10:10 AM;$130.01;$524.92;0.0;
9;Supertrendstrategy11(Buy);Buy to Open;100.0;$14.18;5/17/21, 10:15 AM;;$502.52;100.0;
10;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$13.64;5/17/21, 10:25 AM;($53.29);$471.63;0.0;
11;Supertrendstrategy11(Buy);Buy to Open;100.0;$13.87;5/17/21, 11:20 AM;;$484.13;100.0;
12;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$12.71;5/19/21, 9:35 AM;($116.00);$355.63;0.0;
13;Supertrendstrategy11(Buy);Buy to Open;100.0;$12.59;5/19/21, 11:15 AM;;$351.99;100.0;
14;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$12.09;5/20/21, 9:45 AM;($50.00);$305.63;0.0;
15;Supertrendstrategy11(Buy);Buy to Open;100.0;$12.71;5/20/21, 10:45 AM;;$304.80;100.0;
16;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$12.19;5/21/21, 1:00 PM;($51.61);$254.02;0.0;
17;Supertrendstrategy11(Buy);Buy to Open;100.0;$12.15;5/21/21, 1:25 PM;;$249.02;100.0;
18;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$13.47;5/24/21, 11:00 AM;$132.00;$386.02;0.0;
19;Supertrendstrategy11(Buy);Buy to Open;100.0;$13.46;5/24/21, 11:05 AM;;$408.02;100.0;
20;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$14.86;5/25/21, 10:25 AM;$140.00;$526.02;0.0;
21;Supertrendstrategy11(Buy);Buy to Open;100.0;$14.64;5/25/21, 10:30 AM;;$533.79;100.0;
22;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$15.96;5/25/21, 3:50 PM;$132.01;$658.03;0.0;
23;Supertrendstrategy11(Buy);Buy to Open;100.0;$16.30;5/25/21, 3:55 PM;;$670.03;100.0;
24;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$18.33;5/26/21, 9:35 AM;$203.00;$861.03;0.0;
25;Supertrendstrategy11(Buy);Buy to Open;100.0;$17.70;5/26/21, 9:40 AM;;$887.53;100.0;
26;Supertrendstrategy11(CloseBuy);Sell to Close;-100.0;$19.25;5/26/21, 11:25 AM;$155.37;$1,016.40;0.0;
