Strategy report
Symbol: AMZN
Work Time: 10/27/20, 9:35 AM - 7/12/21, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$3,222.40;10/27/20, 9:35 AM;;$21.14;1.0;
2;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,240.56;10/27/20, 10:00 AM;$18.16;$18.16;0.0;
3;AAA;Buy to Open;1.0;$3,192.00;10/29/20, 9:35 AM;;($1.89);1.0;
4;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,199.62;10/29/20, 10:30 AM;$7.62;$25.78;0.0;
5;AAA;Buy to Open;1.0;$3,071.73;11/2/20, 9:35 AM;;$17.19;1.0;
6;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,052.64;11/2/20, 9:55 AM;($19.09);$6.70;0.0;
7;AAA;Buy to Open;1.0;$2,984.92;11/3/20, 9:35 AM;;$7.31;1.0;
8;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,073.40;11/3/20, 10:25 AM;$88.49;$95.18;0.0;
9;AAA;Buy to Open;1.0;$3,184.00;11/4/20, 9:35 AM;;$88.73;1.0;
10;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,182.59;11/4/20, 10:05 AM;($1.41);$93.77;0.0;
11;AAA;Buy to Open;1.0;$3,323.99;11/5/20, 9:40 AM;;$97.78;1.0;
12;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,364.53;11/5/20, 10:10 AM;$40.54;$134.31;0.0;
13;AAA;Buy to Open;1.0;$3,084.13;11/11/20, 9:40 AM;;$149.03;1.0;
14;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,112.36;11/11/20, 10:10 AM;$28.23;$162.54;0.0;
15;AAA;Buy to Open;1.0;$3,152.38;11/12/20, 9:35 AM;;$181.08;1.0;
16;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,139.10;11/12/20, 9:50 AM;($13.28);$149.26;0.0;
17;AAA;Buy to Open;1.0;$3,118.80;11/13/20, 9:35 AM;;$162.75;1.0;
18;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,127.42;11/13/20, 10:00 AM;$8.62;$157.88;0.0;
19;AAA;Buy to Open;1.0;$3,176.76;11/17/20, 9:35 AM;;$149.19;1.0;
20;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,160.18;11/17/20, 10:00 AM;($16.58);$141.30;0.0;
21;AAA;Buy to Open;1.0;$3,115.00;11/20/20, 9:35 AM;;$133.76;1.0;
22;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,127.09;11/20/20, 11:15 AM;$12.09;$153.39;0.0;
23;AAA;Buy to Open;1.0;$3,123.01;11/23/20, 9:35 AM;;$165.85;1.0;
24;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,116.00;11/23/20, 10:05 AM;($7.01);$146.38;0.0;
25;AAA;Buy to Open;1.0;$3,153.15;11/25/20, 9:35 AM;;$145.17;1.0;
26;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,184.30;11/25/20, 10:10 AM;$31.15;$177.53;0.0;
27;AAA;Buy to Open;1.0;$3,213.23;11/27/20, 9:35 AM;;$168.05;1.0;
28;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,201.79;11/27/20, 10:05 AM;($11.44);$166.09;0.0;
29;AAA;Buy to Open;1.0;$3,211.02;11/30/20, 9:35 AM;;$167.86;1.0;
30;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,211.89;11/30/20, 9:40 AM;$0.87;$166.96;0.0;
31;AAA;Buy to Open;1.0;$3,174.94;12/1/20, 9:45 AM;;$168.78;1.0;
32;AAA(,5,AMZN,9,9,10,);Sell to Close;-1.0;$3,176.01;12/1/20, 10:05 AM;$1.07;$168.03;0.0;
