Strategy report
Symbol: FB
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:15 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;40.0;$275.52;10/29/20, 9:35 AM;;($37.20);40.0;
2;MacdPerfect;Sell to Close;-40.0;$274.65;10/29/20, 9:40 AM;($35.00);($35.00);0.0;
3;MacdPerfect;Buy to Open;40.0;$264.75;11/2/20, 9:35 AM;;$50.08;40.0;
4;MacdPerfect;Sell to Close;-40.0;$267.84;11/2/20, 10:10 AM;$123.60;$88.60;0.0;
5;MacdPerfect;Buy to Open;40.0;$261.21;11/3/20, 9:35 AM;;$132.20;40.0;
6;MacdPerfect;Sell to Close;-40.0;$266.92;11/3/20, 10:30 AM;$228.40;$317.00;0.0;
7;MacdPerfect;Buy to Open;40.0;$283.13;11/4/20, 9:35 AM;;$237.00;40.0;
8;MacdPerfect;Sell to Close;-40.0;$281.18;11/4/20, 9:40 AM;($78.00);$239.00;0.0;
9;MacdPerfect;Buy to Open;40.0;$289.72;11/5/20, 9:35 AM;;$349.80;40.0;
10;MacdPerfect;Sell to Close;-40.0;$293.55;11/5/20, 10:15 AM;$153.20;$392.20;0.0;
11;MacdPerfect;Buy to Open;40.0;$273.85;11/11/20, 9:35 AM;;$471.53;40.0;
12;MacdPerfect;Sell to Close;-40.0;$276.78;11/11/20, 10:05 AM;$117.20;$509.40;0.0;
13;MacdPerfect;Buy to Open;40.0;$278.30;11/12/20, 9:35 AM;;$544.80;40.0;
14;MacdPerfect;Sell to Close;-40.0;$276.96;11/12/20, 9:50 AM;($53.60);$455.79;0.0;
15;MacdPerfect;Buy to Open;40.0;$269.48;11/24/20, 9:40 AM;;$441.39;40.0;
16;MacdPerfect;Sell to Close;-40.0;$268.94;11/24/20, 9:50 AM;($21.60);$434.19;0.0;
17;MacdPerfect;Buy to Open;40.0;$276.22;11/27/20, 9:35 AM;;$409.99;40.0;
18;MacdPerfect;Sell to Close;-40.0;$275.57;11/27/20, 9:40 AM;($26.00);$408.19;0.0;
19;MacdPerfect;Buy to Open;40.0;$281.07;12/1/20, 9:35 AM;;$512.19;40.0;
20;MacdPerfect;Sell to Close;-40.0;$285.86;12/1/20, 10:25 AM;$191.60;$599.79;0.0;
21;MacdPerfect;Buy to Open;40.0;$278.38;12/17/20, 9:35 AM;;$604.22;40.0;
22;MacdPerfect;Sell to Close;-40.0;$278.62;12/17/20, 10:05 AM;$9.63;$609.42;0.0;
23;MacdPerfect;Buy to Open;40.0;$268.44;12/23/20, 9:40 AM;;$561.42;40.0;
24;MacdPerfect;Sell to Close;-40.0;$267.19;12/23/20, 9:45 AM;($50.00);$559.42;0.0;
25;MacdPerfect;Buy to Open;40.0;$268.34;12/28/20, 9:35 AM;;$571.42;40.0;
